Technology,Thermal Energy required from fuel (MJ/year)
Boiler 289,40834440
Boiler 290,40834440
Boiler 291,40834440
Boiler 292,40834440
Boiler 293,40834440
Boiler 294,40834440
Boiler 295,40834440
Boiler 296,40834440
Boiler 297,40834440
Boiler 298,40834440
Boiler 299,40834440
Boiler 300,40834440
Boiler 301,40834440
Boiler 302,40834440
Boiler 303,40834440
Boiler 304,40834440
Boiler 305,40834440
Boiler 306,40834440
Boiler 307,40834440
Boiler 308,40834440
Boiler 309,40834440
Boiler 310,40834440
Boiler 311,40834440
Boiler 312,40834440
Boiler 313,40834440
Boiler 314,40834440
Boiler 315,40834440
Boiler 316,40834440
Boiler 317,40834440
Boiler 318,81668520
Boiler 319,81668520
Boiler 320,81668520
Boiler 321,81668520
Boiler 322,81668520
Boiler 323,81668520
Boiler 324,81668520
Boiler 325,81668520
Boiler 326,81668520
Boiler 327,81668520
Boiler 328,81668520
Boiler 329,81668520
Boiler 330,81668520
Boiler 331,81668520
Boiler 332,81668520
Boiler 333,81668520
Boiler 334,81668520
Boiler 335,81668520
Boiler 336,81668520
Boiler 337,81668520
Boiler 338,81668520
Boiler 339,81668520
Boiler 340,81668520
Boiler 341,81668520
Boiler 342,190559880
Boiler 343,190559880
Boiler 344,190559880
Boiler 345,190559880
Boiler 346,190559880
Boiler 347,190559880
Boiler 348,190559880
Boiler 349,190559880
Boiler 350,190559880
Boiler 351,282981600
Boiler 352,282981600
Boiler 353,282981600
Boiler 354,282981600
