,,,LHV (MJ/kg),Price (£/tonne),Boiler Efficiency,kgCO2e/MWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 Prices and Emission factors,Natural Gas,42,292,0.9,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blue Hydrogen,120,1800,0.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,INCENTIVES,,,,,,,,,,,,,,,,,,,
Technology,PLANT,CO2 Emissions from natural gas combustion (kg/yr),Price of steam produced from Natural gas combustion (£/MWh),Thermal Energy required from fuel (MJ/year),Market Occupancy,,Hydrogen fuel required (kg/year) ,Hydrogen fuel required (tonne/year) ,Hydrogen output (MWh/year),Hydrogen operating cost (£/year),CO2 Emissions from Hydrogen (kg/year),Price of steam produced from Hydrogen combustion (£/MWh),,Renewable hydrogen incentive (£/MWh),CONSTRAINT 4,Impact of incentive (£/MWh),CONSTRAINT 3,Market Share,CONSTRAINT 2,NEW HYDROGEN DEMAND,,CUMULATIVE HYDROGEN DEMAND,A,152705.3923,t/yr,,,,,,0.01,,0.154294933
,,,,,,,,,,,,,,,,,,58.95%,<=,,,INITIAL HYDROGEN DEMAND,Ao,96071.958,t/yr,,,,,,0.02,,0.33456489
Boiler 112,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 113,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 114,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 115,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 116,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 117,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 118,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 119,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 120,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 121,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 122,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 123,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 124,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 125,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 126,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 127,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 128,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 129,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 130,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 131,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 132,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 133,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 134,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 135,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 136,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 137,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 138,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 139,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 140,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 141,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 142,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 143,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 144,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 145,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 146,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 147,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 148,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 149,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 150,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 151,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 152,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 153,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 154,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 155,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 156,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 157,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 158,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 159,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 160,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 161,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 162,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 163,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 164,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 165,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 166,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 167,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 168,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 169,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 170,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 171,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 172,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 173,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 174,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 175,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 176,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 177,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 178,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 179,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 180,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 181,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 182,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 183,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 184,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 185,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 186,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 187,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 188,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 189,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 190,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 191,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 192,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 193,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 194,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 195,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 196,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 197,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 198,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 199,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 200,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 201,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 202,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 203,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0.001599613,=<=,153.678,,,,,,,,,,,,,
Boiler 204,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 205,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 206,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 207,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 208,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 209,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 210,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 211,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 212,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 213,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 214,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 215,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 216,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 217,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 218,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 219,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 220,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 221,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 222,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 223,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 224,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 225,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 226,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 227,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 228,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 229,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 230,UK Chemical Industry…,"2,268,580",28,"40,834,440",0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 231,UK Chemical Industry…,"2,268,580",28,"40,834,440",0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 232,UK Chemical Industry…,"2,268,580",28,"40,834,440",0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 233,UK Chemical Industry…,"2,268,580",28,"40,834,440",0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 234,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 235,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 236,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 237,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 238,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 239,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 240,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 241,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 242,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 243,UK Chemical Industry…,2268580,27.80952381,40834440,0.003542001,,340287,340.287,10208.61,612516.6,204172.2,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
